Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,613502215;17,93496513;39,2218132;6,505045891;43,61569932
1,623589362;-11,39280891;23,1363678;-7,878120899;26,96576346
1,633514238;-12,05839729;20,7505455;2,619256735;24,14229877
1,643551832;-5,248090267;24,81829453;1,63643682;25,41983714
1,653671775;2,343923569;29,60071182;-0,049081136;29,69340881
1,66355409;4,624400616;29,8042202;0,549469292;30,16585055
1,673582565;4,605247021;27,6829567;1,492784739;28,10307453
1,683681568;3,432088137;24,18024063;3,961206675;24,74175467
1,693620341;1,459265947;19,68273163;4,584896088;20,26229636
1,70374293;0,104147777;15,51203251;4,34787035;16,11018237
1,713618079;0,407014281;12,21761131;3,60327363;12,74438181
1,72358456;1,454477549;9,482235909;2,771288395;9,985406458
1,733561029;2,844311714;7,541735172;2,275688648;8,375358939
1,743590905;3,630806923;5,967547894;2,434903145;7,397509047
1,75358691;3,798400879;4,356249809;2,612074137;6,342530483
1,763922725;3,555389643;2,798821688;2,19189167;5,027781563
1,77394644;3,15795207;1,181538582;1,790862918;3,817837698
1,783694652;2,043451071;-0,756567717;1,250970364;2,512571161
1,793533992;0,790086567;-2,073378563;0,415394008;2,257362982
1,803449834;-0,785298169;-4,258087635;-1,109712481;4,469839518
1,813412599;-1,841141105;-4,983530998;-0,982819796;5,4028989
1,823544216;-2,159569979;-5,882553577;-1,098938584;6,362062959
1,833727081;-1,687912226;-5,054159641;-0,429759204;5,345864788
1,843559035;-1,59932673;-2,959233284;-0,934935749;3,491276625
1,853470298;-1,331176162;-2,012326479;-0,822408259;2,549086734
1,863497049;-1,033097982;-1,528697729;-0,343567938;1,876765067
1,874046597;-0,808043063;-1,138442874;0,294486821;1,426782484
1,883703715;-0,513556242;-0,737414122;0,85353291;1,239370013
1,893601258;-0,20590134;-0,276530296;1,066616893;1,120953149
1,903586722;0,081402861;0,246602774;1,146822572;1,175857715
1,91358047;0,459686726;0,590170741;1,027112484;1,270658666
1,923596432;0,681150377;1,07619369;0,793677866;1,500694256
1,933592851;0,694318473;1,465251446;0,506373644;1,698662476
1,944286685;0,645237386;1,690306425;0,565031588;1,895449232
1,954066128;0,794874966;1,662773132;0,440533102;1,894916915
1,963787178;0,810437262;1,479616642;0,627280831;1,799876441
1,973673979;1,59693253;1,350329757;0,77931267;2,231795734
1,983709906;2,108094692;1,874659896;2,869450808;4,023948421
1,993634327;1,332373261;2,201468468;0,962469101;2,747367593
2,003515184;1,280897856;4,195838451;-0,681150377;4,439563657
2,013444987;0,503979445;7,149086475;-1,456871748;7,313406047
2,023455305;-0,490811348;10,93192482;-2,388216257;11,20051128
2,033598928;-0,788889468;16,90186691;0,703895271;16,93490243
2,044082224;-4,513070107;35,57304764;12,8401041;38,08776435
